x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
1898,812,49119,1,1,1,1,1,30
2005,1208,48805,1,1,1,1,1,4
1666,704,48598,1,1,1,1,1,12
1731,238,48098,1,1,1,1,1,14
2557,95,47997,1,1,1,1,1,16
1199,130,47770,1,1,1,1,1,7
1113,34,47521,1,1,1,1,1,17
1184,5607,49511,1,1,1,1,1,19
1290,5181,49725,1,1,1,1,1,22
1396,4942,49917,1,1,1,1,1,17
453,5763,47726,1,1,1,1,1,13
861,6061,48044,1,1,1,1,1,14
58,4143,48404,1,1,1,1,1,5
1791,4828,49163,1,1,1,1,1,6
6119,1097,47326,1,1,1,1,1,23
5502,1068,48397,1,1,1,1,1,39
6083,1224,48033,1,1,1,1,1,30
5528,1431,48288,1,1,1,1,1,9
5401,956,48233,1,1,1,1,1,28
5592,1,49516,1,1,1,1,1,18
3982,484,48485,1,1,1,1,1,11
3281,621,49173,1,1,1,1,1,47
4325,203,48007,1,1,1,1,1,61
4294,197,47983,1,1,1,1,1,46
6223,648,45630,1,1,1,1,1,28
5620,412,46416,1,1,1,1,1,22
5638,634,46309,1,1,1,1,1,47
5406,472,46534,1,1,1,1,1,2
3907,5935,45259,1,1,1,1,1,2
182,2213,44398,1,1,1,1,1,47
1017,1819,45349,1,1,1,1,1,4
1487,1812,46682,1,1,1,1,1,12
877,767,46794,1,1,1,1,1,6
4791,2673,38853,1,1,1,1,1,47
5377,1225,42124,1,1,1,1,1,12
5160,3202,40654,1,1,1,1,1,9
3143,5949,41152,1,1,1,1,1,8
4429,3828,40851,1,1,1,1,1,15
5294,3275,40362,1,1,1,1,1,13
2212,4536,40201,1,1,1,1,1,17
3030,6144,41069,1,1,1,1,1,47
2988,5169,41189,1,1,1,1,1,17
1546,6345,39978,1,1,1,1,1,1
615,6895,38654,1,1,1,1,1,16
722,7456,38934,1,1,1,1,1,15
1649,7714,39973,1,1,1,1,1,6
912,8742,39610,1,1,1,1,1,11
814,8526,39520,1,1,1,1,1,17
765,8202,39421,1,1,1,1,1,21
1332,9673,39754,1,1,1,1,1,33
533,9433,39381,1,1,1,1,1,17
1495,11408,38668,1,1,1,1,1,14
2055,10170,39603,1,1,1,1,1,9
2240,10239,39548,1,1,1,1,1,47
404,11818,41364,1,1,1,1,1,21
1545,11967,40627,1,1,1,1,1,47
2660,11365,41431,1,1,1,1,1,19
3653,10699,37950,1,1,1,1,1,18
3789,10910,38061,1,1,1,1,1,11
4592,11737,37619,1,1,1,1,1,15
5109,12303,37753,1,1,1,1,1,13
5449,12412,37532,1,1,1,1,1,11
4019,9408,49670,1,1,1,1,1,13
4220,9442,49994,1,1,1,1,1,9
3015,8133,48994,1,1,1,1,1,22
2922,8405,49688,1,1,1,1,1,15
1216,6528,48203,1,1,1,1,1,9
1855,7125,48482,1,1,1,1,1,28
